"X" "Y" "Z"
"98" 11.303971 18.457243 25.318279
"99" 11.325494 18.278347 24.767757
"100" 11.309352 18.293905 24.718702
"101" 11.449239 18.542807 25.288296
"102" 11.26093 18.278347 24.854965
"103" 11.250168 18.146124 24.293547
"104" 11.207129 18.293905 24.696905
"105" 11.07262 18.223906 24.506121
"106" 11.212505 18.286133 24.457071
"107" 11.223265 18.457243 24.944906
"108" 11.379296 18.698368 25.37071
"109" 11.390058 18.807259 25.326986
"110" 11.406199 18.667252 25.430836
"111" 11.503042 18.612804 25.152069
"112" 11.373917 18.083897 24.222828
"113" 11.503042 18.192791 24.430555
"114" 11.64293 18.441689 24.906103
"115" 11.535327 18.356133 24.911558
"116" 11.562224 18.34058 24.74485
"117" 11.605268 18.332798 25.050943
"118" 11.632168 18.013901 24.720249
"119" 11.83124 18.208351 25.157532
"120" 11.836617 18.503914 25.594822
"121" 11.965747 18.791698 26.155094
"122" 11.777435 18.573921 25.939184
"123" 11.890423 18.558361 25.701408
"124" 11.949606 18.892818 26.316338
"125" 12.105634 18.916151 26.075829
"126" 12.062592 18.993929 26.081301
"127" 12.078732 19.165045 26.469387
"128" 12.121776 19.413942 26.920334
"129" 12.374647 19.522837 26.862938
"130" 12.213242 19.242825 26.578714
"131" 12.509156 19.297272 26.209753
"132" 12.385406 19.553946 26.466658
"133" 12.589861 18.986155 26.212484
"134" 12.44459 19.289494 26.291746
"135" 12.509156 19.406168 26.770023
"136" 12.643661 19.569508 27.043325
"137" 12.751268 19.522837 26.821943
"138" 12.541437 19.647284 27.220976
"139" 12.519917 19.763956 27.521608
"140" 12.471497 19.600616 27.138981
"141" 12.353124 19.460613 27.078854
"142" 12.493015 19.460613 27.122589
"143" 12.406929 19.623949 27.425945
"144" 12.320845 19.460613 26.701702
"145" 12.417691 19.437275 26.912136
"146" 12.213242 19.515053 26.974997
"147" 12.39617 19.787287 27.398624
"148" 12.595241 19.826178 27.412283
"149" 12.665184 20.051744 27.453276
"150" 12.514537 19.880625 27.248301
"151" 12.751268 19.896179 27.639122
"152" 12.815831 20.020636 28.349714
"153" 12.923438 20.043966 28.571093
"154" 12.724368 20.043966 28.683146
"155" 12.907292 20.269518 28.664015
"156" 12.842734 20.355085 28.778801
"157" 12.912674 20.238411 28.68861
"158" 12.826592 20.199526 28.614822
"159" 12.665184 20.207302 28.614822
"160" 12.815831 20.176188 28.560148
"161" 12.831972 20.10619 28.459028
"162" 12.928817 20.075071 28.685883
"163" 13.127885 20.253967 29.093098
"164" 13.031043 19.950626 28.792469
"165" 12.993382 19.763956 27.99716
"166" 12.998762 19.865074 28.40984
"167" 13.117136 20.00272 28.043613
"168" 13.043859 19.758879 27.838539
